# m	b	logf
-9.661538989285224366e-01	4.394526821188731169e+00	-5.391601309171175638e-01
-1.005896589317976098e+00	4.618334716696270270e+00	-6.248406903875274310e-01
-1.015736156974188731e+00	4.775046706940498709e+00	-6.766609235900311603e-01
-9.932306340316180426e-01	4.554088114142899713e+00	-6.702474085143826921e-01
-1.020486626687621579e+00	4.671745021687926602e+00	-6.234566317126661872e-01
-9.276035713910779634e-01	4.206307966034285251e+00	-5.726933307990198507e-01
-7.913507207754473249e-01	3.561542633548215875e+00	-3.625451413695945924e-02
-8.329688676547740700e-01	3.763521334359174464e+00	-3.704587847703212367e-01
-9.933193004882114874e-01	4.438591120484979058e+00	-4.590564728420121199e-01
-9.065058757131448930e-01	4.202280367094555658e+00	-5.026156048814448551e-01
-9.762057693010564030e-01	4.509268241185139026e+00	-8.199370128839122973e-01
-1.156215235051052170e+00	5.426281251027669228e+00	-6.886150620806590350e-01
-8.644462636977215952e-01	3.874855534810429880e+00	-5.824047374438331426e-01
-9.286751309732806936e-01	4.317250507777036894e+00	-6.418267299807582926e-01
-7.885066125765280987e-01	3.442062528015108036e+00	-3.807574692548543194e-01
-8.772178046481868829e-01	4.027556189163395750e+00	-5.506734177161979327e-01
-8.153176840852237595e-01	3.591331380842559984e+00	-4.617838199359995399e-01
-9.431773203222177937e-01	4.460543762526451239e+00	-5.102455080407397592e-01
-8.028662153579437799e-01	3.649345357515176858e+00	-4.904627927153295541e-01
-8.805929406368658841e-01	3.958031939954015588e+00	-6.484656265257108254e-01
-8.411553964329687716e-01	3.715523548014873167e+00	-3.024318817170664753e-01
-9.389795586640187208e-01	4.522464400446470911e+00	-6.312952795323170108e-01
-1.038684079521364989e+00	4.593581048472630712e+00	-7.033601047812381157e-01
-8.709071706749230701e-01	3.900679235117564758e+00	-3.956140651349405735e-01
-1.072539526290271494e+00	4.874957829605074622e+00	-6.539489450307183205e-01
-8.733645166210420863e-01	4.193488498316922275e+00	-2.704519877924429494e-01
-8.699788845672941084e-01	3.816798317890753189e+00	-4.534876100011684397e-01
-8.284783894890490608e-01	3.724111881424776449e+00	-3.399896124603167258e-01
-9.578867116102873780e-01	4.498099143384546750e+00	-4.113977543478841148e-01
-7.383547500676670428e-01	3.477739915228879930e+00	-2.772294034227673065e-01
-9.753633551098661592e-01	4.293364758226674738e+00	-5.354492240448345264e-01
-1.012146873989245410e+00	4.640162824569847189e+00	-7.096970118438648001e-01
-1.117822514453401972e+00	5.072376115568826727e+00	-5.861250235306257883e-01
-9.843459823470809278e-01	4.532976868066340259e+00	-6.239046989220217165e-01
-1.047243102313128338e+00	4.882145580576386479e+00	-6.065678952238431343e-01
-9.754505011171457074e-01	4.412331248695855024e+00	-8.078495821275576416e-01
-7.904345939760304418e-01	3.568820933760401104e+00	-3.153692496905626808e-01
-9.563392596964691572e-01	4.431203867116994211e+00	-6.045567752946015005e-01
-8.614257019364628398e-01	3.934590530524689989e+00	-5.106421188743049955e-01
-7.546900960794845625e-01	3.457307172696634012e+00	-3.143901891807547866e-01
-1.019264508270601333e+00	4.789559794471388798e+00	-6.801798725811551982e-01
-9.404569181632250752e-01	4.198073695985737430e+00	-5.377755010315643514e-01
-8.115252845656515390e-01	3.614038630690296738e+00	-4.092496265826506274e-01
-1.057497229833619157e+00	5.151590006252505738e+00	-6.796347812961512913e-01
-1.047368428238340199e+00	4.844045115382544786e+00	-7.954219435745766287e-01
-1.048335329906563640e+00	5.066982693318867526e+00	-5.167612138418961054e-01
-9.226469562315960937e-01	4.206658141597245049e+00	-5.926987649150164961e-01
-9.120251749669419095e-01	4.178832540356245850e+00	-5.862786728993284457e-01
-9.065533245132378903e-01	3.979883335944535805e+00	-6.579574171436245456e-01
-9.060558436539697391e-01	4.222435561652382319e+00	-4.350434760413372515e-01
-9.776999673083991427e-01	4.425582296912797808e+00	-5.470702102253247601e-01
-9.530589655261043625e-01	4.346561912430763286e+00	-6.714972043020350778e-01
-9.027173784298320180e-01	4.102602818587953060e+00	-5.213894498148742285e-01
-9.412902446621983499e-01	4.426370180095861251e+00	-4.923954369483014570e-01
-9.107538132061271385e-01	4.052105867077833601e+00	-5.137153456095140402e-01
-9.708710796345683125e-01	4.376998331529144970e+00	-4.131641904664128395e-01
-1.079196366752871672e+00	5.089245613876597574e+00	-5.676014409868551658e-01
-7.470067251486094406e-01	3.255827936531591860e+00	-2.383537896021849511e-01
-9.232687560679483374e-01	4.189477184093873596e+00	-5.443054277943698560e-01
-9.532978758045551615e-01	4.238584581305278931e+00	-4.909415692683476440e-01
-9.675787079596228635e-01	4.641955084100986895e+00	-4.516216566473118532e-01
-7.430989359208619582e-01	3.504073573133166697e+00	-4.047772913952174534e-01
-1.013641851758412260e+00	4.434545233172770828e+00	-5.313958916589219816e-01
-9.053017429465310961e-01	4.047121524829251804e+00	-6.894115508307074869e-01
-1.024960427267320062e+00	4.592502853137754748e+00	-6.002378812031800015e-01
-1.026977755841770978e+00	4.471146349312348889e+00	-6.372381808406921699e-01
-9.127412635056091350e-01	4.389444812582890876e+00	-2.847101828369133503e-01
-8.411064217612584937e-01	3.731357229656257601e+00	-5.189471901634015172e-01
-8.590599133613434635e-01	3.934192947918470740e+00	-4.568826812495351275e-01
-9.645339734092364115e-01	4.441874404717879976e+00	-4.169600097418235674e-01
-9.472890125440260878e-01	4.503735442983284543e+00	-5.999127898725959973e-01
-7.473925866563118081e-01	3.548737472600528520e+00	-2.908470952438000912e-01
-9.449454052431756068e-01	4.435218942751228965e+00	-5.934695108086541770e-01
-8.948094978261514898e-01	3.983582757537285524e+00	-5.407983061100598565e-01
-9.227920437247573160e-01	3.905417960612909134e+00	-4.997732909543910473e-01
-9.435047844580649601e-01	4.282190265607983548e+00	-5.760007585092257187e-01
-9.602616617440408175e-01	4.504230737727217715e+00	-6.827744383020830643e-01
-9.239432852466906709e-01	4.421936789893919695e+00	-4.459363595377495715e-01
-8.721608506933204996e-01	3.968347340568614712e+00	-4.987664613829354554e-01
-9.459466465680744784e-01	4.313424202332457824e+00	-6.867838272552657664e-01
-9.993345182694666207e-01	4.599917157768818932e+00	-5.678090652488593237e-01
-8.870097290641610899e-01	4.036989622278161605e+00	-5.531790731737183942e-01
-1.043170590732563463e+00	4.784921769293178251e+00	-5.316815455682810665e-01
-8.250829071855005914e-01	3.885991138500470399e+00	-4.915088013268041900e-01
-8.019141501613339384e-01	3.786239872470469781e+00	-2.538435261057282455e-01
-8.144984592085062758e-01	3.557535108991628725e+00	-2.608466456445898141e-01
-9.614000776176967467e-01	4.464929301903612924e+00	-6.110084523828303027e-01
-1.014688768721024204e+00	4.639297897406077453e+00	-6.038407320776669751e-01
-1.051745904595776437e+00	4.722786073955614228e+00	-5.617766143456519590e-01
-8.445126812027214935e-01	3.834483210272481291e+00	-3.732123646722397270e-01
-9.234763696633409014e-01	4.149925368164673500e+00	-4.857163389803136333e-01
-9.914400765095977563e-01	4.536568243475660900e+00	-5.518856075232173586e-01
-1.000406963330311649e+00	4.618287004833658393e+00	-5.614552952390540197e-01
-8.007917769414846232e-01	3.633599391102504406e+00	-4.641526566023970179e-01
-1.044840273558086619e+00	4.766448718915755833e+00	-5.991322914037555680e-01
-9.260923092255649580e-01	4.479402672523145945e+00	-5.125458841897606588e-01
